"DateTime","Final price","Historical Low"
"2024-08-20 19:05:02",69.99,69.99
"2025-06-26 17:19:51",59.49,59.49
"2025-06-26 19:57:48",59.49,59.49
"2025-07-10 17:11:08",69.99,59.49
"2025-08-11 17:11:09",48.99,48.99
"2025-08-25 17:11:08",69.99,48.99
"2025-09-25 17:01:15",48.99,48.99
"2025-10-06 17:11:10",69.99,48.99
"2025-11-03 18:11:08",45.49,45.49
"2025-11-17 18:11:08",69.99,45.49
"2025-11-20 18:01:14",64.99,45.49
"2025-12-04 18:01:12",69.99,45.49
"2025-12-18 18:10:34",45.49,45.49
"2026-01-05 18:18:31",64.99,45.49
"2026-01-19 18:15:17",69.99,45.49
"2026-02-05 18:14:23",41.99,41.99
"2026-02-19 18:15:28",69.99,41.99
"2026-03-05 18:06:28",59.99,41.99
"2026-03-19 17:38:21",41.99,41.99
"2026-03-26 17:19:41",69.99,41.99
"2026-03-30 17:15:52",41.99,41.99
"2026-04-13 17:15:20",69.99,41.99
"2026-04-30 17:05:58",57.25,41.99
"2026-05-10 16:00:25",57.25,41.99
"2026-05-10 16:00:25",,41.99
