"DateTime","Final price","Historical Low"
"2019-12-04 17:30:05",59.99,59.99
"2019-12-12 18:05:28",47.99,47.99
"2019-12-14 18:12:31",59.99,47.99
"2019-12-19 18:10:54",47.99,47.99
"2020-01-02 18:11:38",59.99,47.99
"2020-01-23 18:09:32",47.99,47.99
"2020-02-06 18:20:58",59.99,47.99
"2020-03-17 18:20:09",47.99,47.99
"2020-03-24 18:10:12",59.99,47.99
"2020-05-11 17:10:16",47.99,47.99
"2020-05-25 17:12:14",59.99,47.99
"2020-06-25 17:05:25",47.99,47.99
"2020-07-09 17:20:18",59.99,47.99
"2020-07-30 17:05:55",47.99,47.99
"2020-08-13 17:08:21",59.99,47.99
"2020-09-23 18:45:06",40.19,40.19
"2020-10-07 18:10:06",59.99,40.19
"2020-10-29 17:01:29",40.19,40.19
"2020-11-02 18:32:42",59.99,40.19
"2020-11-25 18:05:16",40.19,40.19
"2020-12-01 19:15:18",59.99,40.19
"2020-12-09 18:02:36",40.19,40.19
"2020-12-14 18:28:25",59.99,40.19
"2020-12-22 18:13:14",40.19,40.19
"2021-01-05 19:34:12",59.99,40.19
"2021-01-15 18:07:30",40.19,40.19
"2021-01-29 18:08:17",59.99,40.19
"2021-02-11 18:05:29",40.19,40.19
"2021-02-15 18:40:08",59.99,40.19
"2021-03-18 17:09:37",40.19,40.19
"2021-04-01 17:14:41",59.99,40.19
"2021-04-19 17:15:22",0,
"2021-04-19 17:18:28",59.99,40.19
"2021-05-17 17:23:23",40.19,40.19
"2021-05-31 17:24:14",59.99,40.19
"2021-06-24 18:37:49",40.19,40.19
"2021-07-08 18:36:13",59.99,40.19
"2021-07-15 17:06:04",40.19,40.19
"2021-07-29 17:09:01",59.99,40.19
"2021-09-09 17:10:07",40.19,40.19
"2021-09-09 17:23:05",59.99,40.19
"2021-09-09 20:55:36",40.19,40.19
"2021-09-23 17:08:44",59.99,40.19
"2021-10-28 17:39:43",40.19,40.19
"2021-11-01 17:18:19",59.99,40.19
"2021-11-04 17:15:27",40.19,40.19
"2021-11-18 18:02:16",59.99,40.19
"2021-11-24 18:08:05",29.99,29.99
"2021-11-24 18:09:55",29.99,29.99
"2021-12-01 18:20:50",59.99,29.99
"2021-12-09 15:55:02",29.99,29.99
"2021-12-13 18:20:16",59.99,29.99
"2021-12-22 18:05:16",29.99,29.99
"2022-01-05 18:58:21",59.99,29.99
"2022-01-12 19:30:03",29.99,29.99
"2022-01-26 18:02:22",59.99,29.99
"2022-01-27 18:24:22",29.99,29.99
"2022-02-03 18:24:34",59.99,29.99
"2022-03-10 18:02:24",29.99,29.99
"2022-04-07 17:02:18",59.99,29.99
"2022-05-05 17:02:34",29.99,29.99
"2022-05-19 17:02:38",59.99,29.99
"2022-06-16 17:02:33",29.99,29.99
"2022-07-07 17:27:54",59.99,29.99
"2022-07-21 17:02:43",29.99,29.99
"2022-08-04 17:02:32",59.99,29.99
"2022-09-01 17:02:39",29.99,29.99
"2022-09-15 17:02:38",59.99,29.99
"2022-10-18 17:02:25",29.99,29.99
"2022-11-01 17:22:52",59.99,29.99
"2022-11-22 18:17:22",19.79,19.79
"2022-11-29 18:28:05",59.99,19.79
"2022-12-05 18:23:09",19.79,19.79
"2022-12-19 18:22:46",59.99,19.79
"2022-12-22 18:29:42",19.79,19.79
"2022-12-22 18:30:59",19.79,19.79
"2023-01-05 18:30:51",59.99,19.79
