"DateTime","Final price","Historical Low"
"2022-06-08 17:10:02",69.99,69.99
"2022-12-16 18:03:11",59.49,59.49
"2023-01-05 18:29:59",69.99,59.49
"2023-02-14 18:03:07",45.49,45.49
"2023-02-28 18:03:08",69.99,45.49
"2023-03-16 17:26:48",45.49,45.49
"2023-03-23 17:26:50",69.99,45.49
"2023-04-11 17:03:06",45.49,45.49
"2023-04-25 17:03:17",69.99,45.49
"2023-05-30 17:03:28",38.49,38.49
"2023-06-13 17:03:23",69.99,38.49
"2023-06-29 17:22:47",38.49,38.49
"2023-07-13 17:27:22",69.99,38.49
"2023-07-27 17:04:10",38.49,38.49
"2023-08-02 17:15:02",0,
"2026-05-10 15:59:57",0,
